Sector;Dataset;SplitYear;ACC__global_on_sector_test;ACC__sector_only;AUC__global_on_sector_test;AUC__sector_only;BS__global_on_sector_test;BS__sector_only;CV_ACC_Mean__global_on_sector_test;CV_ACC_Mean__sector_only;CV_AUC_Mean__global_on_sector_test;CV_AUC_Mean__sector_only;KS__global_on_sector_test;KS__sector_only;Delta_AUC_global_minus_sector;Delta_ACC_global_minus_sector;Delta_KS_global_minus_sector;Delta_BS_global_minus_sector
Consumer Non-Cyclicals;dataset42;2015;0.7855477855477856;0.7062937062937062;0.8905882352941177;0.7752941176470588;0.1737808734178543;0.2307192087173462;0.8002351097178682;0.8279411764705882;0.8456491447241976;0.8802083333333333;0.8070588235294118;0.6211764705882352;0.11529411764705888;0.07925407925407935;0.1858823529411766;-0.05693833529949188
Consumer Non-Cyclicals;dataset43;2015;0.8158730158730159;0.7777777777777778;0.5064102564102564;0.7297008547008547;0.15195684134960175;0.16255129873752594;0.7622222222222222;0.6595588235294118;0.8399012345679013;0.7128472222222222;0.22756410256410253;0.6923076923076923;-0.22329059829059827;0.03809523809523807;-0.46474358974358976;-0.010594457387924194
Energy;dataset11;2015;0.8651685393258427;0.9438202247191011;0.9885057471264368;0.9655172413793104;0.10681046545505524;0.05776386708021164;0.9298873101420873;0.9527777777777778;0.9610590966968766;0.95875;0.9770114942528736;0.9540229885057472;0.02298850574712641;-0.0786516853932584;0.02298850574712641;0.0490465983748436
Energy;dataset12;2015;0.7205882352941176;0.9264705882352942;;;0.21308684349060059;0.06486253440380096;0.8114942528735632;0.8444444444444444;0.884502576298058;0.9;;;;-0.20588235294117652;;0.14822430908679962
Energy;dataset13;2015;0.6326530612244898;0.7755102040816326;;;0.3149621784687042;0.15148848295211792;0.7662921348314606;0.6388888888888888;0.8275217775533392;0.8150000000000001;;;;-0.1428571428571428;;0.1634736955165863
Energy;dataset21;2015;0.8947368421052632;0.868421052631579;0.9817927170868347;0.9488795518207284;0.0767647847533226;0.10416840016841888;0.8646601941747573;0.8570075757575758;0.9363121877651052;0.9395220588235293;0.8879551820728291;0.7759103641456582;0.032913165266106326;0.02631578947368418;0.11204481792717091;-0.027403615415096283
Energy;dataset22;2015;0.4666666666666667;0.5666666666666667;0.5047846889952152;0.5657894736842105;0.33341893553733826;0.3021560311317444;0.574421115317821;0.5301247771836007;0.6012027278053443;0.556401384083045;0.11004784688995217;0.2272727272727273;-0.061004784688995284;-0.09999999999999998;-0.11722488038277512;0.03126290440559387
Energy;dataset23;2015;0.5555555555555556;0.5777777777777777;0.5951417004048583;0.6133603238866396;0.29424741864204407;0.29412153363227844;0.5387029827025118;0.5529411764705883;0.5575391065181486;0.6020761245674742;0.20242914979757087;0.30364372469635625;-0.018218623481781382;-0.022222222222222143;-0.10121457489878538;0.000125885009765625
Energy;dataset31;2015;0.8426966292134831;0.8651685393258427;0.9669811320754718;0.9549266247379455;0.11208100616931915;0.11078150570392609;0.8767469869818292;0.8423423423423424;0.9451688920326236;0.9131254061078623;0.8055555555555556;0.8034591194968553;0.012054507337526221;-0.022471910112359605;0.002096436058700246;0.0012995004653930664
Energy;dataset32;2015;0.5441176470588235;0.4852941176470588;0.6462450592885376;0.5652173913043478;0.3059666156768799;0.3728172779083252;0.6501016654862808;0.615;0.7084736047097998;0.6935;0.3102766798418972;0.19367588932806323;0.08102766798418981;0.05882352941176466;0.11660079051383399;-0.06685066223144531
Energy;dataset33;2015;0.5918367346938775;0.6530612244897959;0.5771929824561404;0.7263157894736842;0.309146910905838;0.2810838222503662;0.6004708891164132;0.5672064777327935;0.6440295599950734;0.5975069252077562;0.34736842105263155;0.39473684210526316;-0.14912280701754388;-0.061224489795918324;-0.047368421052631615;0.028063088655471802
Energy;dataset41;2015;0.8651685393258427;0.8089887640449438;;;0.132158562541008;0.1261453777551651;0.9472222222222222;0.7;0.9655864197530863;0.825;;;;0.0561797752808989;;0.0060131847858428955
Energy;dataset42;2015;0.7352941176470589;0.8970588235294118;;;0.21784132719039917;0.0694260522723198;0.8002351097178682;0.6799999999999999;0.8456491447241976;0.7583333333333334;;;;-0.16176470588235292;;0.14841527491807938
Energy;dataset43;2015;0.6530612244897959;0.8367346938775511;;;0.2667215168476105;0.10081879794597626;0.7622222222222222;0.47000000000000003;0.8399012345679013;0.45;;;;-0.1836734693877552;;0.16590271890163422
Healthcare;dataset11;2015;0.926829268292683;;0.9625;;0.0728561282157898;;0.9298873101420873;;0.9610590966968766;;0.9375;;;;;
Healthcare;dataset12;2015;0.8064516129032258;0.0;;;0.1589747965335846;0.25;0.8114942528735632;;0.884502576298058;;;;;0.8064516129032258;;-0.0910252034664154
Healthcare;dataset13;2015;0.8043478260869565;0.0;;;0.13306477665901184;0.25;0.7662921348314606;;0.8275217775533392;;;;;0.8043478260869565;;-0.11693522334098816
Healthcare;dataset21;2015;0.8135593220338984;0.7796610169491526;0.9112903225806451;0.8675115207373272;0.14025285840034485;0.18131738901138306;0.8646601941747573;0.7274725274725276;0.9363121877651052;0.8829931972789116;0.717741935483871;0.5990783410138248;0.04377880184331795;0.03389830508474578;0.11866359447004615;-0.04106453061103821
Healthcare;dataset22;2015;0.45652173913043476;0.4782608695652174;0.5575048732943471;0.46003898635477586;0.33879151940345764;0.4312264025211334;0.574421115317821;0.6342857142857143;0.6012027278053443;0.6801020408163265;0.18323586744639375;0.09161793372319693;0.0974658869395712;-0.02173913043478265;0.09161793372319682;-0.09243488311767578
Healthcare;dataset23;2015;0.5277777777777778;0.4722222222222222;0.521604938271605;0.5185185185185185;0.30225861072540283;0.3723304569721222;0.5387029827025118;0.5249999999999999;0.5575391065181486;0.5758928571428571;0.16666666666666669;0.16666666666666663;0.0030864197530865445;0.05555555555555558;5.551115123125783e-17;-0.07007184624671936
Healthcare;dataset31;2015;0.8292682926829268;0.8292682926829268;0.9416666666666667;0.9500000000000001;0.1173710823059082;0.09869301319122314;0.8767469869818292;0.7714285714285716;0.9451688920326236;0.7959183673469388;0.7461538461538462;0.7461538461538462;-0.008333333333333415;0.0;0.0;0.01867806911468506
Healthcare;dataset32;2015;0.6290322580645161;0.5161290322580645;0.7662178702570379;0.5899632802937577;0.22550928592681885;0.3860214650630951;0.6501016654862808;0.7058333333333333;0.7084736047097998;0.7924107142857142;0.47001223990208074;0.37209302325581395;0.17625458996328025;0.11290322580645162;0.0979192166462668;-0.16051217913627625
Healthcare;dataset33;2015;0.5869565217391305;0.5652173913043478;0.5694444444444445;0.5496031746031746;0.2733798027038574;0.34092360734939575;0.6004708891164132;0.7033333333333334;0.6440295599950734;0.7361607142857143;0.2182539682539683;0.16269841269841273;0.019841269841269882;0.021739130434782705;0.05555555555555558;-0.06754380464553833
Healthcare;dataset41;2015;0.9146341463414634;;;;0.07485561817884445;;0.9472222222222222;;0.9655864197530863;;;;;;;
Healthcare;dataset42;2015;0.8225806451612904;;;;0.13063177466392517;;0.8002351097178682;;0.8456491447241976;;;;;;;
Healthcare;dataset43;2015;0.782608695652174;0.0;;;0.1999824345111847;0.25;0.7622222222222222;;0.8399012345679013;;;;;0.782608695652174;;-0.05001756548881531
Industrials;dataset11;2015;0.8787128712871287;0.8638613861386139;0.9467032967032967;0.9362637362637363;0.1070575937628746;0.11320675164461136;0.9298873101420873;0.9046783625730994;0.9610590966968766;0.9733333333333334;0.8871794871794871;0.8260073260073261;0.010439560439560402;0.014851485148514865;0.061172161172161066;-0.006149157881736755
Industrials;dataset12;2015;0.7430340557275542;0.7213622291021672;0.8687008784096163;0.7956541840036986;0.19358332455158234;0.21011824905872345;0.8114942528735632;0.6461904761904762;0.884502576298058;0.6563636363636365;0.6463245492371706;0.5268146093388812;0.07304669440591771;0.021671826625387025;0.1195099398982894;-0.016534924507141113
Industrials;dataset13;2015;0.7593360995850622;0.6763485477178424;0.8376623376623377;0.6948051948051948;0.19460810720920563;0.25553983449935913;0.7662921348314606;0.6454545454545455;0.8275217775533392;0.7322314049586776;0.6445887445887446;0.496969696969697;0.1428571428571429;0.08298755186721984;0.1476190476190476;-0.0609317272901535
