ModelxMeasure;TP;TN;FP;FN;TError_I;TError_II;ACC;SENS;SPEC;BS;AUC;KS;CV_ACC_Mean;CV_AUC_Mean;Sector;Dataset;ModelScope;SplitYear;TrainRows;TestRows;TrainRowsUsed;TestRowsScored
XGB;21.0;482.0;39.0;1.0;7.49;4.55;0.9263351749539595;0.9545454545454546;0.9251439539347409;0.06486210972070694;0.9706857441982203;0.9174664107485605;0.9298873101420873;0.9610590966968766;Consumer Non-Cyclicals;dataset11;global_on_sector_test;2015;7086;543;784;543
XGB;207.0;160.0;39.0;27.0;19.6;11.54;0.8475750577367206;0.8846153846153846;0.8040201005025126;0.1191377192735672;0.9220890778679725;0.7077481424215092;0.8492078141824335;0.9218876041386863;Consumer Non-Cyclicals;dataset21;sector_only;2015;1103;433;988;433
XGB;200.0;160.0;39.0;34.0;19.6;14.53;0.8314087759815243;0.8547008547008547;0.8040201005025126;0.1127387136220932;0.9252458875574453;0.6993944079371215;0.8646601941747573;0.9363121877651052;Consumer Non-Cyclicals;dataset21;global_on_sector_test;2015;5531;433;5150;433
XGB;222.0;245.0;51.0;25.0;17.23;10.12;0.860036832412523;0.8987854251012146;0.8277027027027027;0.10886313021183014;0.935236349710034;0.7406444906444907;0.8450450450450451;0.9226523821118416;Consumer Non-Cyclicals;dataset31;sector_only;2015;1464;543;1110;543
XGB;226.0;252.0;44.0;21.0;14.86;8.5;0.8802946593001841;0.9149797570850202;0.8513513513513513;0.09415208548307419;0.9446192143560564;0.7798446219498851;0.8767469869818292;0.9451688920326236;Consumer Non-Cyclicals;dataset31;global_on_sector_test;2015;7094;543;5574;543
XGB;6.0;493.0;41.0;3.0;7.68;33.33;0.9189686924493554;0.6666666666666666;0.9232209737827716;0.06827709823846817;0.949438202247191;0.8838951310861423;0.9057142857142857;0.9571428571428571;Consumer Non-Cyclicals;dataset41;sector_only;2015;1464;543;74;543
XGB;7.0;487.0;47.0;2.0;8.8;22.22;0.9097605893186004;0.7777777777777778;0.9119850187265918;0.08303888142108917;0.9425717852684146;0.8726591760299626;0.9472222222222222;0.9655864197530863;Consumer Non-Cyclicals;dataset41;global_on_sector_test;2015;7094;543;360;543
XGB;10.0;341.0;73.0;5.0;17.63;33.33;0.8181818181818182;0.6666666666666666;0.8236714975845411;0.13345655798912048;0.8555555555555555;0.7256038647342995;0.8221835075493612;0.9176190476190476;Consumer Non-Cyclicals;dataset12;sector_only;2015;1454;429;208;429
XGB;12.0;324.0;90.0;3.0;21.74;20.0;0.7832167832167832;0.8;0.782608695652174;0.16710694134235382;0.8772946859903382;0.6628019323671498;0.8114942528735632;0.884502576298058;Consumer Non-Cyclicals;dataset12;global_on_sector_test;2015;7069;429;870;429
XGB;106.0;71.0;109.0;59.0;60.56;35.76;0.5130434782608696;0.6424242424242425;0.39444444444444443;0.3749313950538635;0.4955555555555556;0.06818181818181819;0.5851485148514852;0.6138417802176257;Consumer Non-Cyclicals;dataset22;sector_only;2015;1133;345;1010;345
